toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,toi_created,rowupdate
1824.01,142387023,CP,13h10m55.49s,197.7312290,+61d44m41.46s,61.7448490,4.5480000,16.3620000,2460362.1035390,22.8085719,3.8470000,977.0000000,2.4545900,14.6287000,544.0000000,8.9754000,59.4314000,5182.0000000,4.5500000,0.8200000,2020-04-17 11:50:40,2025-04-20 12:03:53
1825.01,229750058,PC,18h42m43s,280.6791680,+66d18m11.2s,66.3031120,-3.2140000,45.3490000,2459752.1233960,10.1824299,2.7880000,10610.0000000,10.7723000,57.9125000,768.0000000,11.7204000,285.5090000,5450.0000000,4.4200000,1.0100000,2020-05-07 18:04:46,2023-03-15 10:10:02
1826.01,229400092,CP,19h29m50.12s,292.4588210,+62d31m45.08s,62.5291890,20.9570000,-6.0560000,2459761.7264990,4.1419805,2.3809654,10130.9411804,12.9812632,462.8529919,1182.9884880,11.2086000,265.4710000,5418.3000000,4.3100000,1.1561400,2020-05-07 18:04:46,2023-06-13 16:02:07
1827.01,390651552,CP,12h47m55.57s,191.9815310,+09d44m57.9s,9.7494180,-1008.6000000,-459.8000000,2459691.1493370,1.4671190,1.0069313,1550.6323680,1.3241394,39.4922140,639.3631768,8.8223000,8.0742600,3297.0000000,4.8900000,0.3314720,2020-05-07 18:04:46,2022-11-09 16:02:01
1828.01,232982938,CP,16h06m14.94s,241.5622480,+69d37m18.49s,69.6218020,-13.2630000,23.8360000,2459918.4383760,9.0941239,4.3890000,2570.0000000,8.0983800,180.2720000,1020.0000000,11.1315000,369.9860000,5759.8000000,4.0700000,1.5600000,2020-05-07 18:04:46,2024-02-13 12:03:01
1829.01,235905185,PC,19h23m30.58s,290.8774260,+78d45m15.18s,78.7542170,-1.1300000,4.9330000,2459775.8845160,6.2895835,3.0440000,24300.0000000,15.9901000,124.2210000,930.0000000,12.8784000,479.5290000,5565.0000000,4.4154400,1.0200000,2020-05-07 18:04:46,2022-10-05 10:10:01
183.01,183979262,FP,01h26m36.07s,21.6502950,-72d44m55.95s,-72.7488740,76.6030000,20.8780000,2459063.7273060,3.4307565,3.1443388,9664.2985634,29.7749124,4956.2460141,2139.9713716,8.3291000,213.0240000,6270.0000000,3.6133200,2.7219200,2018-11-03 00:53:39,2021-12-06 10:10:01
1830.01,20182165,FP,15h04m43.5s,226.1812490,+38d36m19.35s,38.6053750,-15.5300000,34.1520000,2459680.3058180,9.7815625,3.7360000,20040.0000000,18.2050000,225.1920000,1079.0000000,7.0166000,50.3098000,6327.1600000,4.3729700,1.2100000,2020-05-07 18:04:46,2022-05-31 16:02:01
1831.01,27194429,APC,13h21m48.66s,200.4527350,+17d45m55.57s,17.7654350,-23.3850000,-11.3560000,2459665.4646330,0.5553244,0.8336658,353.7045175,4.4033839,44853.3980885,3711.6634241,7.4322900,128.2730000,6864.0000000,3.8993200,2.2681701,2020-05-07 18:04:46,2022-08-18 12:02:41
1832.01,307956397,PC,17h06m38.94s,256.6622660,+63d46m43.09s,63.7786350,-17.3930000,13.1200000,2459765.0403150,4.1508569,2.1900000,8700.0000000,7.6117800,81.7443000,837.0000000,12.9233000,270.3130000,4652.0000000,4.5235800,0.7800000,2020-05-07 18:04:46,2024-09-01 12:02:56
1833.01,61098812,KP,13h41m49.02s,205.4542460,-00d07m41.42s,-0.1281710,-10.8920000,-24.6850000,2459684.7309940,3.6935997,4.4661850,8580.4318905,17.0086591,1639.1071763,1622.8246189,9.8722900,251.3030000,6097.4700000,3.9956600,1.7807600,2020-05-07 18:04:46,2022-12-12 16:02:01
1834.01,71612483,APC,13h29m10.62s,202.2942510,+31d24m06.9s,31.4019160,-82.0960000,-7.1290000,2459689.7635850,1.2164402,1.8470000,15450.0000000,16.0243000,3477.1300000,2139.0000000,11.4951000,265.9410000,5610.0000000,4.4200600,1.0200000,2020-05-07 18:04:46,2022-12-12 16:02:01
1835.01,347332255,PC,12h39m21.41s,189.8392240,+20d01m38.42s,20.0273380,-81.9590000,-104.5890000,2458932.7636350,5.6419598,3.0871502,543.8388480,1.8245844,119.4171181,843.1141848,7.6621000,32.1585000,5297.0000000,4.6101600,0.7824790,2020-05-07 18:04:46,2023-04-22 12:02:54
1835.02,347332255,PC,12h39m21.41s,189.8392240,+20d01m38.42s,20.0273380,-81.9590000,-104.5890000,2458937.8730230,,3.9454498,886.4838237,2.5398986,48.4006234,672.7171326,7.6621000,32.1585000,5297.0000000,4.6101600,0.7824790,2020-05-07 18:04:46,2021-10-29 12:59:15
1836.01,207468071,CP,16h23m37.9s,245.9079240,+54d41m24.28s,54.6900770,-38.2320000,73.2060000,2458933.1672270,20.3807824,6.6590149,2371.5221505,8.2227994,153.5184581,897.7592727,9.2941600,191.6490000,6351.0000000,4.1200000,1.6198800,2020-05-07 18:04:46,2025-07-21 16:00:02
1836.02,207468071,FP,16h23m37.9s,245.9079240,+54d41m24.28s,54.6900770,-38.2320000,73.2060000,2460477.1362690,1.7727505,1.5190000,243.0000000,2.7354900,2981.9800000,2058.0000000,9.2941600,191.6490000,6351.0000000,4.1200000,1.6200000,2022-07-28 21:43:09,2025-04-30 12:03:16
1837.01,144441148,APC,13h51m37.42s,207.9059110,+33d29m32.6s,33.4923900,-50.0010000,-10.0010000,2458931.2507690,5.8182239,1.1943658,1069.5709916,7.8231031,1053.4797410,1453.0357399,8.7084200,159.3750000,5961.2800000,3.8784200,1.9903800,2020-05-07 18:04:46,2021-10-29 12:59:15
1838.01,162689341,KP,16h26m46.09s,246.6920400,+51d02m28.08s,51.0411330,-5.6660000,11.9960000,2459717.2322010,2.1747062,2.8461110,11173.1929564,14.2318710,1622.2528254,1618.6367047,12.4230000,575.8890000,6046.7600000,4.2891800,1.2561899,2020-05-07 18:04:46,2023-03-15 16:02:02
1839.01,381714186,PC,13h07m19.95s,196.8331110,+05d51m07.37s,5.8520460,-12.9370000,-61.3620000,2459690.2416430,1.4238067,1.5009585,721.0458571,2.6855348,921.8466630,1405.3497526,10.2173000,116.0860000,5382.6900000,4.5515200,0.8480990,2020-05-07 18:04:46,2023-12-15 12:02:56
184.01,300871545,FP,07h50m37.78s,117.6574010,-70d32m00.46s,-70.5334610,-14.6700000,33.1390000,2460186.7647320,4.8170684,3.1822663,23137.3629965,24.4342674,952.2769628,1416.8065929,10.0433000,247.4410000,6380.0000000,4.2485200,1.4495600,2018-10-19 23:49:46,2023-11-03 10:08:02
1840.01,165987272,KP,13h03m55.64s,195.9818360,+30d38m24.52s,30.6401450,-5.1060000,15.6400000,2459658.6424190,7.8456075,5.8920000,7020.0000000,14.2866000,718.1880000,1442.0000000,9.8469000,240.7260000,6266.0000000,4.0887400,1.6500000,2020-05-07 18:04:46,2022-05-20 10:10:02
1841.01,168699373,KP,14h12m34.53s,213.1438600,+47d00m53.22s,47.0147830,-29.6810000,11.0790000,2459688.4434520,4.3011975,2.9820000,22050.0000000,15.3684000,185.1190000,1027.0000000,12.4474000,347.8500000,5115.1600000,4.3443700,1.0300000,2020-05-07 18:04:46,2022-09-08 10:10:02
1842.01,404505029,CP,13h27m51.04s,201.9626550,+09d01m50.32s,9.0306440,-23.9760000,-7.5180000,2459680.1034320,9.5739531,4.1720000,3170.0000000,12.4956000,354.6390000,1208.0000000,9.2673300,223.4650000,6115.0000000,3.8764600,2.0500000,2020-05-07 18:04:46,2022-06-01 12:04:12
1843.01,258871793,FP,19h11m34.75s,287.8947870,+66d19m41.03s,66.3280650,0.7440000,-14.9960000,2458931.1207220,9.1469122,4.6184970,8770.0961182,12.7002634,235.6892132,999.3202230,12.6445000,627.6270000,5954.0000000,4.2600000,1.2752000,2020-05-07 18:04:46,2021-10-29 12:59:15
1844.01,198108326,KP,13h57m33.27s,209.3886450,+43d29m35.92s,43.4933100,-134.7910000,-44.2940000,2459685.3980950,3.2130578,2.1690000,22530.0000000,11.0975000,118.0750000,918.0000000,11.7551000,142.7510000,4652.8700000,4.6126500,0.7000000,2020-05-07 18:04:46,2022-09-08 10:10:02
1845.01,272758199,PC,15h49m16.1s,237.3170860,+71d26m34.6s,71.4429440,-2.7660000,-19.0590000,2459666.1321770,3.6610026,2.6047415,18701.4218317,13.3480688,305.2117259,1066.0315380,12.8890000,418.2390000,5271.0000000,4.4400000,0.9434020,2020-05-07 18:04:46,2023-05-19 16:02:01
1846.01,198385543,CP,17h11m49.19s,257.9549650,+54d31m40.25s,54.5278480,-61.6250000,211.3150000,2459884.3498030,3.9306746,1.4305142,1637.1984269,1.7902006,17.7418678,523.4432264,11.8467000,47.2496000,3512.0000000,4.8161800,0.4114520,2020-05-07 18:04:46,2025-07-22 12:04:25
1847.01,54002556,KP,01h34m05.15s,23.5214500,-14d25m08.94s,-14.4191490,11.1680000,14.0470000,2459099.8215410,35.4557945,3.8670000,9890.0000000,8.9807000,9.2419600,485.0000000,11.6235000,190.4220000,5076.0000000,4.5300000,0.8300000,2020-05-08 14:39:00,2024-10-18 10:08:02
