toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,toi_created,rowupdate
1000.01,50365310,FP,07h29m25.85s,112.3577080,-12d41m45.46s,-12.6959600,-5.9640000,-0.0760000,2459229.6300460,2.1713484,2.0172196,656.8860989,5.8181633,22601.9485814,3127.2040524,9.6040000,485.7350000,10249.0000000,4.1900000,2.1698600,2019-07-24 15:58:33,2024-09-09 10:08:01
1001.01,88863718,PC,08h10m19.31s,122.5804650,-05d30m49.87s,-5.5138520,-4.9560000,-15.5550000,2459987.9488730,1.9316462,3.1660000,1286.0000000,11.2154000,44464.5000000,4045.0000000,9.4234400,295.8620000,7070.0000000,4.0300000,2.0100000,2019-07-24 15:58:33,2023-04-03 14:31:04
1002.01,124709665,FP,06h58m54.47s,104.7269660,-10d34m49.64s,-10.5804550,-1.4620000,-2.2490000,2459224.6878020,1.8675574,1.4080000,1500.0000000,23.7529000,2860.6100000,2037.0000000,9.2995010,943.1090000,8924.0000000,,5.7300000,2019-07-24 15:58:33,2022-07-11 16:02:02
1003.01,106997505,FP,07h22m14.39s,110.5599450,-25d12m25.26s,-25.2070170,-0.9390000,1.6400000,2458493.3957000,2.7432300,3.1670000,383.4100000,,1177.3600000,1631.0000000,9.3003000,7728.1700000,5388.5000000,4.1500000,,2019-07-24 15:58:33,2022-02-23 10:10:02
1004.01,238597883,FP,08h08m42.77s,122.1781950,-48d48m10.12s,-48.8028110,-4.4960000,9.3470000,2459987.0472620,3.5730141,3.3700000,755.0000000,11.3113000,54679.3000000,4260.0000000,9.1355000,356.4370000,9219.0000000,4.1400000,2.1500000,2019-07-24 15:58:33,2024-09-09 10:08:01
1005.01,169904935,FP,08h02m49.15s,120.7048110,-11d06m05.48s,-11.1015210,-26.9320000,-2.9010000,2459985.1568550,4.5505945,2.6540000,3731.0000000,7.1084100,414.7750000,1257.0000000,9.1309000,100.7110000,5613.0000000,,1.0900000,2019-07-24 15:58:33,2025-07-08 10:08:01
1006.01,156115721,FP,08h17m26.22s,124.3592390,-27d16m24.68s,-27.2735210,-29.1000000,-6.8000000,2459229.9845790,2.5047918,4.3797563,2270.5402194,8.6950898,1750.9326350,1649.8220699,9.2386000,,6616.0000000,,1.5342900,2019-07-24 15:58:33,2021-10-29 12:59:15
1007.01,65212867,PC,07h31m00.57s,112.7523930,-04d27m48.09s,-4.4633590,0.3570000,3.3990000,2459247.9306950,6.9989206,3.9530000,2840.0000000,14.7752000,448.7440000,1282.0000000,8.8775900,283.2910000,6596.0000000,3.7100000,2.7000000,2019-07-24 15:58:33,2021-10-29 12:59:15
1008.01,440801822,FP,07h17m31.88s,109.3828390,+13d23m42.79s,13.3952190,-17.9000000,1.3000000,2460258.2361220,2.0483755,2.7670000,483.0000000,3.1962100,5644.4000000,,8.9362000,144.2970000,6858.5000000,4.2000000,1.5700000,2019-07-24 15:58:33,2023-12-08 16:02:02
1009.01,107782586,PC,07h26m40.28s,111.6678450,-24d27m43.6s,-24.4621110,-3.2970000,4.8490000,2459229.2309240,1.9600277,2.0065257,1707.6272693,,1063.3422958,1456.4246534,8.4331000,866.1470000,8868.7000000,,,2019-07-24 15:58:33,2024-01-17 10:08:02
101.01,231663901,KP,21h14m56.88s,318.7370120,-55d52m18.71s,-55.8718630,12.6410000,-16.0110000,2458326.0091170,1.4303699,1.6165994,18960.7122944,13.1874503,1281.2408254,1525.9048089,12.4069000,375.3100000,5600.0000000,4.4885100,0.8907740,2018-09-05 18:49:20,2024-09-06 10:08:02
1010.01,139853601,FP,07h29m10.56s,112.2939810,-21d49m58.48s,-21.8329120,-5.7460000,4.5020000,2459228.8781010,0.6808702,2.4634563,1507.8006889,5.9115908,87140.6995884,4382.0266062,8.4508600,485.1220000,9438.0000000,,1.0000000,2019-07-24 15:58:33,2021-10-29 12:59:15
1011.01,114018671,PC,07h35m56.34s,113.9847610,-32d50m31.2s,-32.8419990,145.1020000,-134.9010000,2459984.6277680,2.4704981,2.1910000,250.0000000,1.4465600,575.5970000,1364.0000000,8.2388000,52.6200000,5413.7000000,4.4600000,0.9400000,2019-07-24 15:58:33,2023-03-22 16:02:02
