pl_name,hostname,default_flag,disposition,disp_refname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
EPIC 211432946.01,EPIC 211432946,1,FALSE POSITIVE,Yu et al. 2018,1,0,Transit,2018,K2,Published Candidate,0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,1.67196500000,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,3243.00,0.483697,0.481713,,,4.751710,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h50m32.93s,132.6372140,+12d08m21.61s,12.1393359,119.43700000,16.5900000,11.1310000,15.0674000,2019-02-26,2018-07,2019-02-26
EPIC 211436313.01,EPIC 211436313,1,CANDIDATE,Zink et al. 2021,1,0,Transit,2021,K2,Published Candidate,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,4.33283700000,,2.26300000,0.20189168,,,,,,,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,K3,4768.00,0.725000,0.942000,-0.1360,[Fe/H],4.693000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h09m59.69s,137.4987069,+12d11m26.48s,12.1906885,331.58300000,14.1240000,11.8410000,13.9586000,2021-11-19,2021-12,2021-11-19
EPIC 211436876.01,EPIC 211436876,1,CANDIDATE,del Ser et al. 2022,1,0,Transit,2022,K2,Published Confirmed,0,<a refstr=DEL_SER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.2899D/abstract target=ref>del Ser et al. 2022</a>,1.15240000000,0.0125000000,0.67460000,0.06018388,,,,,8270.0290,,0,<a refstr=DEL_SER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.2899D/abstract target=ref>del Ser et al. 2022</a>,,5992.00,1.057000,0.992000,-0.0950,[Fe/H],4.386000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h30m54.63s,127.7276048,+12d11m56.57s,12.1990464,374.53400000,12.4570000,10.9970000,12.2887000,2022-11-07,2022-10,2022-11-07
EPIC 211438731.01,EPIC 211438731,1,CANDIDATE,Zink et al. 2021,1,0,Transit,2021,K2,Published Candidate,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,20.48645500000,,2.76200000,0.24640956,,,,,,,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,M4,3664.00,0.371000,0.357000,0.0690,[Fe/H],4.852000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h57m34.48s,134.3936549,+12d13m37.33s,12.2270375,100.73500000,16.3600000,11.5470000,15.2077000,2021-11-19,2021-12,2021-11-19
EPIC 211439059.01,EPIC 211439059,0,CANDIDATE,Kruse et al. 2019,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=NARDIELLO_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.463.1831N/abstract target=ref>Nardiello et al. 2016</a>,18.63417900000,,1.49000000,0.13300000,,,,,,,0,<a refstr=NARDIELLO_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.463.1831N/abstract target=ref>Nardiello et al. 2016</a>,,,0.821000,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h47m53.64s,131.9735167,+12d13m54.43s,12.2317861,297.80000000,13.1730000,11.1750000,13.0279000,2017-12-13,2016-12,2017-12-13
EPIC 211439059.01,EPIC 211439059,0,CANDIDATE,Kruse et al. 2019,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=PETIGURA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...21P/abstract target=ref>Petigura et al. 2018</a>,18.64504600000,,1.80000000,0.16000000,,,,,,,0,<a refstr=PETIGURA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...21P/abstract target=ref>Petigura et al. 2018</a>,,,0.840000,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h47m53.64s,131.9735167,+12d13m54.43s,12.2317861,297.80000000,13.1730000,11.1750000,13.0279000,2017-12-14,2018-01,2017-12-14
EPIC 211439059.01,EPIC 211439059,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,18.63930000000,,1.73000000,0.15400000,,,,,,,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,0.821000,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h47m53.64s,131.9735167,+12d13m54.43s,12.2317861,297.80000000,13.1730000,11.1750000,13.0279000,2019-09-05,2019-09,2019-09-05
EPIC 211439059.01,EPIC 211439059,0,CANDIDATE,Kruse et al. 2019,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=POPE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.461.3399P/abstract target=ref>Pope et al. 2016</a>,18.64100000000,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,4774.48,,,-0.1038,[M/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h47m53.64s,131.9735167,+12d13m54.43s,12.2317861,297.80000000,13.1730000,11.1750000,13.0279000,2016-07-18,2016-10,2016-07-18
EPIC 211442571.01,EPIC 211442571,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2019,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,5.19287000000,,1.29000000,0.11500000,,,,,,,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,0.826000,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h25m22.18s,126.3424367,+12d17m09.90s,12.2860829,350.67000000,13.0780000,11.3160000,12.8244000,2019-09-05,2019-09,2019-09-05
EPIC 211442571.02,EPIC 211442571,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2019,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,3.39934000000,,1.08000000,0.09640000,,,,,,,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,0.826000,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h25m22.18s,126.3424367,+12d17m09.90s,12.2860829,350.67000000,13.0780000,11.3160000,12.8244000,2019-09-05,2019-09,2019-09-05
