toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,toi_created,rowupdate
5228.01,154014059,PC,13h47m00.71s,206.7529600,+68d52m01.69s,68.8671370,-0.6780000,-0.7860000,2459651.4164560,8.3221959,2.7710000,4460.0000000,11.2943000,90.1896000,858.0000000,12.9534000,925.9440000,5899.0000000,4.0300000,1.6500000,2022-02-28 23:23:37,2024-08-22 10:08:01
5229.01,288428649,PC,17h56m08.52s,269.0355070,+78d12m47.24s,78.2131230,3.4770000,-71.2140000,2459883.2988990,5.9184575,2.9470000,1240.0000000,3.4729000,130.7000000,941.0000000,11.9919000,273.2830000,5087.5000000,4.4100000,0.9700000,2022-02-28 23:23:37,2024-08-22 10:08:01
523.01,93125144,FA,05h39m23.17s,84.8465580,-19d33m30.02s,-19.5583400,20.4350000,-56.3950000,2458472.9596930,9.9110200,2.9816810,6044.1341200,7.7057740,63.4418379,719.8030598,9.6833000,77.8471000,4692.0000000,4.2972300,0.9417050,2019-03-28 00:07:14,2021-10-29 12:59:15
5230.01,55778666,PC,12h09m20.12s,182.3338400,+57d30m12.96s,57.5036010,7.9240000,-5.1050000,2459630.9865640,7.1452343,3.1690000,14520.0000000,12.0822000,120.8830000,923.0000000,13.1924000,576.5390000,5685.0000000,4.4600000,0.9800000,2022-02-28 23:23:38,2025-02-17 12:03:27
5231.01,105387356,FP,20h03m04.21s,300.7675480,+31d03m34.91s,31.0596970,2.8110000,-5.3020000,2459445.8163590,1.5163046,3.6190000,1180.0000000,10.3854000,7863.4500000,2623.0000000,11.4186000,876.3260000,6529.0000000,3.5800000,3.1100000,2022-02-28 23:23:38,2024-08-22 10:08:01
5232.01,69356857,CP,19h37m20.98s,294.3374250,+35d16m35.37s,35.2764930,-14.1190000,-35.9520000,2459440.0699910,4.0966887,4.5570000,5620.0000000,12.9734000,1193.8600000,1637.0000000,11.7791000,609.3880000,6212.0000000,4.0400000,1.7400000,2022-02-28 23:23:38,2025-04-21 12:03:49
5233.01,259100469,PC,19h24m41.47s,291.1728080,+69d07m30.63s,69.1251750,21.2260000,87.3660000,2459727.1059470,25.7633320,1.6680000,2560.0000000,5.7716700,3.7555600,387.0000000,11.1752000,248.5640000,5795.0000000,4.4100000,1.0600000,2022-02-28 23:23:39,2024-08-22 10:08:01
5234.01,335681838,PC,14h50m03.35s,222.5139570,+63d02m18.37s,63.0384370,9.6590000,-12.5060000,2459442.4346810,15.1016086,4.4030000,520.0000000,2.7164400,126.7210000,934.0000000,10.8964000,302.1440000,6511.0000000,4.4200000,1.1800000,2022-02-28 23:23:39,2024-08-22 10:08:01
5235.01,154814765,PC,12h12m22.36s,183.0931580,+84d24m40.37s,84.4112140,7.4690000,-4.8220000,2459559.8569730,26.1442304,2.3680000,1980.0000000,8.1973900,35.8503000,681.0000000,10.8131000,214.4960000,5721.0000000,4.3800000,1.0800000,2022-02-28 23:23:40,2024-08-22 10:08:01
5236.01,193765661,PC,20h25m08.77s,306.2865610,+43d13m59.6s,43.2332220,-11.5560000,-10.3610000,2459807.1548310,10.9974977,7.1820000,3400.0000000,9.8988500,461.3460000,1291.0000000,11.3335000,582.5270000,6188.0000000,3.8300000,2.1800000,2022-02-28 23:23:40,2024-09-23 12:03:08
5237.01,435740442,PC,19h49m58.86s,297.4952610,+29d53m28.51s,29.8912520,8.1620000,3.9300000,2459444.8730650,2.9889845,1.8580000,13920.0000000,17.7415000,314.2100000,1172.0000000,12.4705000,603.7350000,6002.0000000,4.1800000,1.4200000,2022-02-28 23:23:41,2024-08-22 10:08:01
5238.01,219016883,CP,14h53m26.13s,223.3588910,+68d51m34.1s,68.8594720,-7.5420000,-18.4930000,2459661.5157400,4.8721904,2.5840000,2180.0000000,4.8964400,195.9250000,1042.0000000,11.6370000,290.6460000,5430.5000000,4.4200000,1.0200000,2022-02-28 23:23:41,2024-08-22 10:08:01
5239.01,230290708,PC,18h25m31.74s,276.3822620,+44d54m05.07s,44.9014090,8.9250000,-21.3660000,2459431.3150240,11.3182327,2.9560000,5080.0000000,8.8354800,59.5158000,773.0000000,12.7986000,648.8930000,5969.0000000,4.2900000,1.2400000,2022-02-28 23:23:42,2024-08-22 10:08:01
524.01,365690646,FA,05h26m10.38s,81.5432300,+06d54m44.31s,6.9123070,-7.7970000,-9.5590000,2458471.1433750,12.9831750,1.5275780,1180.9969040,5.9332510,397.4686874,1138.7948113,10.0940000,293.2700000,6962.6400000,4.1471600,1.6798300,2019-03-28 00:07:14,2025-08-15 16:00:02
5240.01,40055053,CP,19h32m20.11s,293.0837890,+34d56m25.43s,34.9403970,-0.5190000,0.5240000,2459444.9021090,4.1793301,5.1610000,4900.0000000,16.1603000,2876.9000000,2040.0000000,11.6917000,980.4870000,7349.0000000,3.9300000,2.3100000,2022-02-28 23:23:42,2025-01-20 12:03:29
5241.01,305948428,PC,19h41m56.11s,295.4837710,+23d07m38.61s,23.1273920,-11.8290000,-12.0060000,2459439.5539650,4.8398399,2.8180000,7040.0000000,12.0967000,199.6080000,1047.0000000,12.1019000,441.5960000,5506.0000000,4.1400000,1.3900000,2022-02-28 23:23:42,2024-08-22 10:08:01
5242.01,426122503,PC,19h10m38.03s,287.6584730,+35d29m44.52s,35.4957000,7.6890000,-41.3710000,2459445.3510350,2.4038486,1.8700000,16500.0000000,11.4754000,242.5150000,1099.0000000,12.7890000,331.8520000,5074.0000000,4.5100000,0.8500000,2022-02-28 23:23:43,2025-09-19 12:04:41
5243.01,322504451,PC,20h37m19.92s,309.3330170,+48d02m25.84s,48.0405100,-3.1320000,-8.4600000,2459825.6869410,1.6087939,1.9660000,8160.0000000,16.2542000,1301.7100000,1673.0000000,12.5949000,764.0060000,5995.0000000,3.9600000,1.8100000,2022-02-28 23:23:43,2024-08-22 10:08:01
5244.01,352151292,PC,20h21m03.2s,305.2633230,+52d54m37.14s,52.9103160,1.1590000,-0.8270000,2459827.2985000,5.0821798,4.2490000,4930.0000000,10.6708000,592.3280000,1374.0000000,12.8105000,766.4390000,5929.0000000,4.1000000,1.5300000,2022-02-28 23:23:44,2024-08-22 10:08:01
5245.01,123041007,APC,18h36m13.89s,279.0578860,+42d31m09.39s,42.5192760,-3.3640000,-6.6510000,2459446.0677760,0.4305826,0.4350000,15510.0000000,12.4063000,156.9250000,986.0000000,14.5795000,,3861.0000000,4.5800000,0.6900000,2022-02-28 23:23:44,2025-01-30 12:03:06
5246.01,295807723,FP,20h16m10.91s,304.0454520,+48d52m34.67s,48.8762970,-0.2640000,-2.1220000,2459445.2192800,0.6972223,1.0950000,6460.0000000,14.5958000,3144.2300000,2086.0000000,13.4161000,1095.8100000,6556.0000000,4.0900000,1.7400000,2022-02-28 23:23:45,2024-08-22 10:08:01
5247.01,289307883,PC,20h59m13.01s,314.8042000,+23d43m59.54s,23.7332060,12.6230000,24.6140000,2459440.3388940,12.9177538,1.8000000,11460.0000000,15.1940000,21.7315000,601.0000000,12.4228000,497.0410000,5606.0000000,4.2100000,1.3000000,2022-02-28 23:23:45,2024-08-22 10:08:01
5248.01,256154857,APC,20h00m10.98s,300.0457510,+21d44m26.2s,21.7406110,8.4560000,2.9890000,2459794.8563300,0.7012390,1.0500000,13700.0000000,10.9462000,1087.1500000,1599.0000000,13.4319000,423.7370000,5126.0000000,4.5100000,0.8500000,2022-02-28 23:23:45,2025-02-02 12:03:02
5249.01,185598695,PC,20h08m44.14s,302.1838980,+42d29m46.82s,42.4963380,0.5800000,-1.3390000,2459446.2231460,4.6285493,2.8440000,15300.0000000,12.8401000,300.0050000,1159.0000000,13.4752000,668.4290000,6007.0000000,4.4400000,1.0600000,2022-02-28 23:23:46,2024-08-22 10:08:01
525.01,71512186,PC,06h00m40.79s,90.1699540,-08d28m06.03s,-8.4683410,6.8180000,-55.9060000,2458471.0075950,14.8608019,6.1932625,556.6027212,4.4404093,239.0475595,1002.8611977,8.7784000,152.0420000,7064.0000000,4.2237400,1.6223100,2019-03-28 00:07:14,2024-09-08 10:08:02
5250.01,278105308,PC,20h11m00.43s,302.7518010,+23d20m40.99s,23.3447200,-11.3990000,-10.6170000,2459446.1679660,5.4463931,2.2220000,8350.0000000,20.2415000,236.7890000,1092.0000000,11.7781000,782.3240000,6815.0000000,3.9200000,2.1900000,2022-02-28 23:23:46,2024-08-22 10:08:01
5251.01,436007113,PC,20h23m12.91s,305.8038090,+29d52m21.62s,29.8726720,8.0560000,5.0140000,2459445.0183090,2.3205922,2.3930000,8900.0000000,14.7239000,1400.1500000,1704.0000000,12.2492000,668.8340000,6756.0000000,4.2400000,1.5100000,2022-02-28 23:23:47,2025-07-22 12:04:25
5252.01,395385033,PC,20h09m59.82s,302.4992330,+23d24m35.21s,23.4097800,5.2780000,2.0790000,2459437.2673990,8.5394045,5.8840000,6460.0000000,13.4388000,566.2870000,1359.0000000,12.8990000,913.7140000,6369.0000000,4.0800000,1.7000000,2022-02-28 23:23:47,2024-08-22 10:08:01
5253.01,284660935,APC,11h56m50.85s,179.2118930,+58d24m19.28s,58.4053560,-24.1880000,-10.5360000,2459635.0413690,1.1110609,1.1550000,4060.0000000,12.9236000,2976.4500000,2057.0000000,13.2860000,582.4710000,5500.1000000,4.4000000,1.0200000,2022-02-28 23:23:47,2024-08-22 10:08:01
